iter	Logloss
0	0.6325602342
1	0.5844370039
2	0.5423998838
3	0.5102826928
4	0.4820689559
5	0.4613125561
6	0.4387959879
7	0.4195540056
8	0.4057815273
9	0.3924169245
10	0.3824181952
11	0.3735792278
12	0.3667298567
13	0.3607071712
14	0.3562610163
15	0.3512366326
16	0.3466521389
17	0.3430383342
18	0.3406041884
19	0.3371657255
20	0.3338759719
21	0.3316378986
22	0.3295685926
23	0.3278852255
24	0.3260376549
25	0.3244746894
26	0.3229442633
27	0.321795807
28	0.3204091668
29	0.3196832309
30	0.3183316023
31	0.3172834134
32	0.3164654883
33	0.3155753014
34	0.314713849
35	0.3139323728
36	0.3132806274
37	0.312669894
38	0.3118770575
39	0.3110676306
40	0.3103397252
41	0.309534509
42	0.30890993
43	0.3080735321
44	0.3074564387
45	0.3067345017
46	0.3061061721
47	0.3056560165
48	0.305262299
49	0.3047469303
50	0.3044171953
51	0.3039576575
52	0.3034182312
53	0.3028206923
54	0.3023309227
55	0.3012966118
56	0.300966513
57	0.3005419245
58	0.2999183666
59	0.2994517365
60	0.2991714936
61	0.2986130411
62	0.2981125357
63	0.2978385951
64	0.2974437995
65	0.2971886831
66	0.2969560701
67	0.2962092872
68	0.2956588176
69	0.2953108586
70	0.2950467965
71	0.2944191535
72	0.2940176028
73	0.293834377
74	0.2935099975
75	0.2933286272
76	0.2931145843
77	0.2929137595
78	0.2926447207
79	0.2924134546
80	0.2922115026
81	0.2920431129
82	0.291794641
83	0.2916687334
84	0.2915049718
85	0.291316744
86	0.2912436855
87	0.2907071276
88	0.2903449859
89	0.2902088104
90	0.2900080578
91	0.2898538224
92	0.2896714868
93	0.2894323517
94	0.2892078564
95	0.289189119
96	0.2890283851
97	0.2889199502
98	0.2888180614
99	0.2886384212
100	0.2884499889
101	0.2882727324
102	0.2881932659
103	0.2880706322
104	0.287670742
105	0.2874462916
106	0.2873547719
107	0.2872175509
108	0.2868024859
109	0.2866974996
110	0.2865851846
111	0.2864734949
112	0.2863252059
